road,Accidents
"(154962, 3504720, 0)",5
"(154962, 30804402, 0)",6
"(155002, 1596671811, 0)",2
"(155014, 319339, 0)",5
"(155014, 1596671804, 0)",3
"(155023, 9831544, 0)",4
"(155023, 86039969, 0)",6
"(155035, 86031501, 0)",5
"(155035, 86040176, 0)",3
"(319339, 10260029642, 0)",5
"(319387, 6990105796, 0)",3
"(319415, 375990593, 0)",6
"(319568, 1578638436, 0)",12
"(319577, 1621260392, 0)",1
"(319577, 2377558210, 0)",6
"(319599, 1578639873, 0)",7
"(319689, 1596671830, 0)",3
"(319689, 1596683206, 0)",4
"(321760, 321763, 0)",9
"(321760, 994084, 0)",10
"(321763, 321779, 0)",26
"(321764, 321759, 0)",12
"(321764, 994047, 0)",2
"(321779, 86039444, 0)",2
"(321779, 1056977529, 0)",2
"(321780, 321764, 0)",28
"(321789, 321780, 0)",2
"(321789, 85883115, 0)",7
"(321811, 774753015, 0)",23
"(321812, 269180659, 0)",8
"(321812, 269180672, 0)",6
"(321818, 321811, 0)",6
"(321854, 247782201, 0)",5
"(321855, 321818, 0)",11
"(350831, 402972859, 0)",16
"(350916, 350822, 0)",11
"(350945, 1599656486, 0)",2
"(350945, 3153207992, 0)",3
"(350950, 1599664984, 0)",3
"(350950, 1599666771, 0)",3
"(350966, 1596707302, 0)",3
"(601438, 601413, 0)",4
"(601438, 1574723002, 0)",8
"(610959, 7856458760, 0)",3
"(610967, 610959, 0)",1
"(610967, 610968, 0)",1
"(610967, 551274768, 0)",1
"(610985, 413571568, 0)",2
"(611046, 11800270630, 0)",1
"(611057, 6047609602, 0)",1
"(643592, 303162565, 0)",2
"(643595, 6297387173, 0)",1
"(643600, 255454203, 0)",1
"(643607, 643605, 0)",3
"(643607, 21093544, 0)",2
"(643607, 255454150, 0)",5
"(643608, 643607, 0)",2
"(643610, 255454075, 0)",1
"(643612, 26124069, 0)",1
"(643614, 26416729, 0)",1
"(643624, 643622, 0)",1
"(643624, 1825219304, 0)",1
"(643660, 10296555092, 0)",2
"(643670, 11084323977, 0)",5
"(643769, 643771, 0)",1
"(643771, 643769, 0)",1
"(643771, 1027324239, 0)",1
"(643789, 9025073896, 0)",1
"(643825, 7103308983, 0)",1
"(643840, 2125804677, 0)",2
"(643844, 7741337466, 0)",1
"(643851, 762669698, 0)",3
"(643911, 643914, 0)",4
"(643911, 301689321, 0)",1
"(643914, 342628235, 0)",1
"(643929, 643930, 0)",3
"(643929, 317087679, 0)",1
"(643930, 643931, 0)",1
"(643930, 301688528, 0)",5
"(643931, 643933, 0)",3
"(643933, 643936, 0)",1
"(643933, 10103026371, 0)",15
"(643945, 9823132, 0)",1
"(994043, 321763, 0)",1
"(994043, 994047, 0)",1
"(994067, 321759, 0)",1
"(994067, 994084, 0)",2
"(1553614, 319599, 0)",17
"(1553845, 1553614, 0)",3
"(1554000, 1553845, 0)",2
"(1554569, 1554000, 0)",12
"(1554667, 1560066, 0)",4
"(1554667, 9233997236, 0)",2
"(1560066, 1561164, 0)",23
"(1560077, 1554569, 0)",2
"(1560077, 1581182956, 0)",1
"(3460709, 994062, 0)",2
"(3460709, 21093411, 0)",3
"(3461249, 1718435561, 0)",1
"(3461536, 3461554, 0)",1
"(3466839, 940354790, 0)",2
"(3466839, 1056671899, 0)",1
"(3466858, 30831487, 0)",1
"(3466881, 32045797, 0)",1
"(3466900, 940354793, 0)",1
"(3466914, 3466900, 0)",1
"(3467321, 5191656448, 0)",1
"(3467478, 3467321, 0)",1
"(3467921, 10439687, 0)",1
"(3467921, 6854093016, 0)",1
"(3468054, 1056671962, 0)",2
"(3468054, 7934788508, 0)",1
"(3468343, 1056672081, 0)",1
"(3468735, 3468704, 0)",1
"(3469289, 11652687674, 0)",2
"(3471202, 603330168, 0)",5
"(3471202, 1601550785, 0)",1
"(3471222, 248018261, 0)",2
"(3471222, 249728054, 0)",1
"(3471381, 249732577, 0)",1
"(3471395, 248495604, 0)",1
"(3471522, 249732556, 0)",1
"(3471535, 10969595167, 0)",3
"(6979286, 296016788, 0)",1
"(6979288, 298034295, 0)",2
"(6979295, 54139908, 0)",1
"(6979301, 6979325, 0)",3
"(6979325, 6979336, 0)",4
"(6980155, 1639920059, 0)",1
"(6980155, 1639920065, 0)",1
"(6980163, 6980168, 0)",1
"(6980163, 11621998199, 0)",1
"(6980177, 21122827, 0)",1
"(6980681, 21503213, 0)",1
"(6980681, 304322883, 0)",7
"(6980681, 304322902, 0)",2
"(6980681, 2719936836, 0)",4
"(6980686, 306288670, 0)",2
"(6980690, 302683927, 0)",1
"(6980690, 306288670, 0)",2
"(7269934, 313102494, 0)",3
"(7269934, 1637789282, 0)",1
"(7269938, 313102480, 0)",4
"(7269951, 313102480, 0)",5
"(7269951, 313102555, 0)",2
"(7269957, 7269972, 0)",2
"(7269972, 7269957, 0)",3
"(7270002, 304898171, 0)",1
"(7270009, 7270002, 0)",1
"(7270029, 7270009, 0)",1
"(7270029, 7270034, 0)",1
"(7270034, 7270040, 0)",1
"(7270040, 7270043, 0)",1
"(7270043, 7270052, 0)",1
"(7270043, 48930592, 0)",6
"(7270052, 31004234, 0)",1
"(7270081, 32027591, 0)",2
"(7270087, 1534657203, 0)",2
"(9237426, 963593317, 0)",1
"(9237457, 316815307, 0)",1
"(9237573, 9792428, 0)",2
"(9237573, 1280682045, 0)",1
"(9237579, 9237600, 0)",2
"(9237621, 7741337471, 0)",1
"(9593185, 30860445, 0)",1
"(9593185, 297582582, 0)",3
"(9593196, 297582486, 0)",1
